Day,Time (UTC),Strand,Room,Order,Theme,Authors,Title,Abstract ID & link,Country
Wednesday,7,5,S,1,Introduction to music cognition (India Hub) (W),"Hegde, Shantala; Alluri, Vinoo",Introduction to music cognition (India Hub),NA,India
Wednesday,8,1,K,1,Welcome Session,"Timmers, Renee and all conference organisers",Welcome to ICMPC16-ESCOM11,2031,UK
Wednesday,8,1,1,2,Methods Innovation,"Wycisk, Yves; Kopiez, Reinhard; Bergner, Jakob; Sander, Kilian; Preihs, Stephan; Peissig, Jürgen; Platz, Friedrich",Bringing Confounding Variables to a HALT: Suggestions for the Controlled Us of Playback Devices in Internet Experiments,245,Germany
Wednesday,8,1,1,3,Methods Innovation,"Harrison, Peter M. C.; Pausch, Viola; Sander, Killian; Höger, Frank; Frieler, Klaus; Müllensiefen, Daniel",psychTestR: A platform for individual differences research in music psychology,354,Germany
Wednesday,8,2,2,1,Musicality,"Buren, Verena; Müllensiefen, Daniel; Roeske, Tina; Degé, Franziska",What makes a child musical?,318,Germany
Wednesday,8,2,2,2,Musicality,"Correia, Ana Isabel; Vincenzi, Margherita; Vanzella, Patricia; Schellenberg, E. Glenn; Lima, César F.",Individual differences in musical ability among adults with no music training,724,Portugal
Wednesday,8,3,3,1,Cross-culture,"Kim, You Jin; Ilari, Beatriz",Perceptions of emotional ornamentations in folksongs: A cross-cultural study,704,Korea
Wednesday,8,3,3,2,Cross-culture,"Li, Marjorie; Ingram, Catherine; Thompson, William Forde; Davidson, Jane W.",Exploring Participatory Intercultural Music Engagement Within an Australia-Based Chinese Music Community,716,Germany
Wednesday,9,1,K,1,Keynote,"Milne, Andrew J.; Smit, Eline A.; Sarvasy, Hannah; Dean, Roger T.; Weidemann, Gabrielle",Do psychoacoustic features predict the stability of intervals and triads in remote Papua New Guinean communities?,189,Australia
Wednesday,10,1,Pa,1,Perception (P),"Frige, Shlomi",Musical response and prosody,334,Israel
Wednesday,10,1,Pa,2,Perception (P),"Shuster, Omer; Goldstein, Michal N.; Granot, Roni",An Empirical Investigation Into the Cognitive and Physical Influences of Bass and Syncopation,278,Israel
Wednesday,10,1,Pa,3,Perception (P),"Beveridge, Scott; Cano, Estefanía; Herff, Steffen A.",No one-size-fits-all: The influence of low-frequency equalisation on preference and sensorimotor synchronisation in music,486,NA
Wednesday,10,1,Pa,4,Perception (P),"Sander, Kilian; Wycisk, Yves; Kopiez, Reinhard; Manca, Benedetto; Platz, Friedrich",Headphone and Loudspeaker Screening for web-based auditory Experiments: Suggestions for a reliable Estimation of Data Quality and Sample Size,246,Germany
Wednesday,10,1,Pa,5,Perception (P),"Flannery, Maya B.; Woolhouse, Matthew H.",Music-Related Acoustic Features Predict Music Preference,591,Canada
Wednesday,10,1,Pa,6,Perception: Physiology/Brain Activity (P),"Simon, Adèle; Bech, Søren; Østergaard, Jan; Loquet, Gérard",Auditory attention decoding during naturalistic music listening: A pilot study.,532,Denmark
Wednesday,10,1,Pb,1,Perception: Physiology/Brain Activity (P),"Yeo, Myung Sun; Kim, Soo Ji",The Role of Musical Chord Sequence Cues on Gait- Related Brain Activity: An fMRI Case Study,504,Korea
Wednesday,10,1,Pb,2,Perception: Physiology/Brain Activity (P),"Byron, Timothy P.; De Blasio, Frances M.; Barry, Robert J.",Investigating autonomic correlates of musical expectancies in a complex temporally unfolding musical stimulus,163,Australia
Wednesday,10,2,Pb,3,Music Education (P),"Lin, Hsin-Rui; Kopiez, Reinhard; Müllensiefen, Daniel",The Role of Musical Training and Gender in the Development of Musical Ability of Secondary School Children,214,Canada
Wednesday,10,2,Pb,4,Music Education (P),"Guseynova, Olga; Sayutkin, Yuriy",The Effectiveness of Memorizing Strategies Based On Learning Styles Applied To Piano Training Of Adult Beginners. Case Series,112,Turkey
Wednesday,10,2,Pb,5,Music Education (P),"Gorbunova, Irina B.; Morozov, Sergey A.",On Teaching Visually Impaired Students in Russian Educational Institutions of Music with Using Music Computer Technologies,740,Russia
Wednesday,10,2,Pb,6,Music Education and Informal Learning (P),"Prior, Helen M.",Music students' environment-related attitudes and behaviours before and after a teaching intervention,337,UK
Wednesday,10,2,Pc,1,Music Education and Informal Learning (P),"Goopy, Jason",Shaping children’s identity work in and through daily singing-based music classes: A case study of an Australian single-sex school,569,Australia
Wednesday,10,2,Pc,2,Music Education and Informal Learning (P),"Kawase, Satoshi; Kitabayashi, Yuriko",Music Teachers’ Views of Non-musical Abilities in Children Acquired through Musical Lessons: A Large- Scale Study of Non-cognitive Skills,289,Japan
Wednesday,10,2,Pc,3,Music Education and Informal Learning (P),"Zhao, Luqian",Urban vs Rural: Chinese students' motivation towards musical learning,224,UK
Wednesday,10,3,Pc,4,Emotion (P),"Kinghorn, Elizabeth; Randall, William",Rumination and the Affective Outcomes of Musical Engagement: An Experience-Sampling Study of Personal Music Listening,687,Canada
Wednesday,10,3,Pc,5,Emotion (P),"Wang, Xinyue; Burger, Birgitta; Wöllner, Clemens",Perceiving emotions in tempo-manipulated biological motions,291,China
Wednesday,10,3,Pc,6,Emotion (P),"Pais, Shally Sharin","The functions of music in animated short films - analysing the scores of The Skeleton Dance, Fox and The Whale and La Vieille Dame et les Pigeons.",138,Australia
Wednesday,10,3,Pd,1,Emotion (P),"Ornoy, Eitan",Affective Responses to European Art Music by Israeli Arabs and Israeli Jews: A Cross-Ethnic Study,102,Israel
Wednesday,10,3,Pd,2,Emotion (P),"Di Stefano, Nicola; Lo Presti, Daniela; Massaroni, Carlo; Keller, Flavio; Schena, Emiliano; Formica, Domenico",Behavioural and physiological responses of violinists playing excerpts of different difficulty and emotional expressivity,313,Italy
Wednesday,10,3,Pd,3,Emotion: Felt Emotion/Music in Everyday Life (P),"Tan, Rachel; Ilari, Beatriz","Music-evoked autobiographical memories: Pop tunes, reminiscence bump, and nostalgia in adult listener",193,USA
Wednesday,10,3,Pd,4,Emotion: Felt Emotion/Music in Everyday Life (P),"Mudarris, Mohammed A.; Schaefer, Rebecca S.",Dissociations between familiarity and preference ratings of music for healthy young and older adults.,347,Netherlands
Wednesday,10,3,Pd,5,Emotion: Felt Emotion/Music in Everyday Life (P),"Loepthien, Tim; van den Tol, Annemieke; Hanser, Waldie; Leipold, Bernhard",Why do we regulate our emotions through music listening? Hedonic and instrumental motives in emotion regulation through music listening.,175,Germany
Wednesday,10,3,Pd,6,Emotion: Felt Emotion/Music in Everyday Life (P),"Vincenzi, Margherita; Borella, Erika; De Beni, Rossana","Music and cognition: the effect of listening to music on mood and arousal, and cognitive performance in healthy aging",637,Italy
Wednesday,10,3,Pe,1,Emotion: Music in Times of Crisis (P),"Onderdijk, Kelsey Esmé; Acar, Freya; Van Dyck, Edith",Making Music With Others During the COVID-19 Pandemic,298,Belgium
Wednesday,10,3,Pe,2,Emotion: Music in Times of Crisis (P),"Coers, Marijn; Granot, Roni; Spitz, Daniel H.; Schaefer, Rebecca S.",Individual differences in use of music as emotional coping style in times of crisis,506,Netherlands
Wednesday,10,3,Pe,3,Emotion: Piano Performance (P),"Ham, Ju Sung; Hong, You Jeong; Park, Jeong Mi; Park, Jong Hwa; Nam, Juhan; Lee, Kyogu",Communication of Emotion Modified by the Performer in Classical Piano Pieces,435,South Korea
Wednesday,10,3,Pe,4,Emotion: Piano Performance (P),"Hassler, Miriam Charlotte; Gillner, Elisa",“Just the two of us“: The effects of gaze and identity cues on social presence and enjoyment of an audiovisual piano performance,352,Germany
Wednesday,10,3,Pe,5,Emotion: Piano Performance (P),"Kim, Yoojin; Park, Jeongmi; Jeong, Dasaem; Kwon, Taegyun; Park, Jonghwa; Nam, Juhan",Emotion Classification and Analysis of Expressive Performances in Classical Piano Music,656,Korea
Wednesday,10,4,Pf,1,New books (P),"Cohen, A., J., Russo, F. A., Ilari, B., Gudmundsdottir, H.R., Beynon, C., Ludke, K., M., Heydon, R., Fancourt, D.",Routledge Companion to Interdisciplinary Research in Singing,2001,NA
Wednesday,10,4,Pf,2,New books (P),"Timmers, Renee; Bailes, Freya; Daffern, Helena","Together in Music: Coordination, Expression, Participation.",2002,NA
Wednesday,10,4,Pf,3,New books (P),"Wanke, Riccardo","Sound in the Ecstatic-Materialist Perspective on Experimental Music. Routledge, Research on Music Series",2003,NA
Wednesday,11,1,1,1,Methods Innovation,"Passarotto, Edoardo; Preckel, Franzis; Schneider, Michael; Müllensiefen, Daniel",Deliberate Practice in Music: Development and Psychometric Validation of a Standardized Measurement Instrument,390,Germany
Wednesday,11,1,1,2,Methods Innovation,"MacGregor, Chloe Lara; Ruth, Nicolas; Müllensiefen, Daniel",The Musical Emotion Discrimination Task 2: Developing a large set of short musical clips to test the perception of emotions in music,490,United Kingdom
